Global Rank,Word,Flow Between Letters,Keyboard Line Flow,Key Count,Unique Keys,Repeated Keys,Flow Pattern,Pattern Type,Movement Count,Complexity,AI Suitability
Custom,"jumps","j↑u↓m↗p↙s","5 keys: j → u → m → p → s",5,5,0,"↑↓↗↙","Vertical",4,"Medium","Excellent"
Custom,"fox","f↗o↙x","3 keys: f → o → x",3,3,0,"↗↙","Diagonal",2,"Simple","Excellent"
Custom,"dog","d↗o↙g","3 keys: d → o → g",3,3,0,"↗↙","Diagonal",2,"Simple","Excellent"
Custom,"brown","b↖r→o←w↘n","5 keys: b → r → o → w → n",5,5,0,"↖→←↘","Horizontal",4,"Medium","Excellent"
Custom,"lazy","l←a↓z↗y","4 keys: l → a → z → y",4,4,0,"←↓↗","Diagonal",3,"Simple","Excellent"
Custom,"cat","c↖a↗t","3 keys: c → a → t",3,3,0,"↖↗","Diagonal",2,"Simple","Excellent"
Custom,"bird","b↗i←r↙d","4 keys: b → i → r → d",4,4,0,"↗←↙","Diagonal",3,"Simple","Excellent"
Custom,"treat","t←r←e↙a↗t","4 keys: t → r → e → a",4,4,0,"←←↙↗","Diagonal",4,"Medium","Excellent"
Custom,"bad","b↖a→d","3 keys: b → a → d",3,3,0,"↖→","Diagonal",2,"Simple","Excellent"
Custom,"hungry","h↗u↙n↖g↖r→y","6 keys: h → u → n → g → r → y",6,6,0,"↗↙↖↖→","Diagonal",5,"Medium","Excellent"
Custom,"outside","o←u←t↙s↗i↙d↑e","7 keys: o → u → t → s → i → d → e",7,7,0,"←←↙↗↙↑","Diagonal",6,"Medium","Excellent"
Custom,"inside","i↙n↖s↗i↙d↑e","5 keys: i → n → s → d → e",5,5,0,"↙↖↗↙↑","Diagonal",5,"Medium","Excellent"
Custom,"happy","h←a↗p·p←y","4 keys: h → a → p → y",4,4,0,"←↗·←","Diagonal",4,"Medium","Excellent"
Custom,"sad","s←a→d","3 keys: s → a → d",3,3,0,"←→","Horizontal",2,"Simple","Excellent"
Custom,"need","n↖e·e↓d","3 keys: n → e → d",3,3,0,"↖·↓","Diagonal",3,"Simple","Excellent"
Custom,"yes","y←e↙s","3 keys: y → e → s",3,3,0,"←↙","Diagonal",2,"Simple","Excellent"
Custom,"modern","m↗o↙d↑e→r↘n","6 keys: m → o → d → e → r → n",6,6,0,"↗↙↑→↘","Diagonal",5,"Medium","Excellent"
Custom,"clean","c↗l↖e↙a↘n","5 keys: c → l → e → a → n",5,5,0,"↗↖↙↘","Diagonal",4,"Medium","Excellent"
Custom,"simple","s↗i↙m↗p↙l↖e","6 keys: s → i → m → p → l → e",6,6,0,"↗↙↗↙↖","Diagonal",5,"Medium","Excellent"
Custom,"elegant","e↘l↖e↘g←a↘n↖t","6 keys: e → l → g → a → n → t",6,6,0,"↘↖↘←↘↖","Diagonal",6,"Medium","Excellent"
Custom,"smooth","s↘m↗o·o←t↘h","5 keys: s → m → o → t → h",5,5,0,"↘↗·←↘","Diagonal",5,"Medium","Excellent"
Custom,"fast","f←a→s↗t","4 keys: f → a → s → t",4,4,0,"←→↗","Horizontal",3,"Simple","Excellent"
Custom,"efficient","e↘f·f↗i↙c↗i←e↘n↖t","6 keys: e → f → i → c → n → t",6,6,0,"↘·↗↙↗←↘↖","Diagonal",8,"Complex","Challenging"
Custom,"powerful","p←o←w→e→r↓f↗u↘l","8 keys: p → o → w → e → r → f → u → l",8,8,0,"←←→→↓↗↘","Horizontal",7,"Complex","Challenging"
Custom,"flexible","f→l↖e↙x↗i↙b↗l↖e","6 keys: f → l → e → x → i → b",6,6,0,"→↖↙↗↙↗↖","Diagonal",7,"Complex","Challenging"
Custom,"creative","c↗r←e↙a↗t→i↙v↖e","7 keys: c → r → e → a → t → i → v",7,7,0,"↗←↙↗→↙↖","Horizontal",7,"Complex","Challenging"
Custom,"innovative","i↙n·n↗o↙v↖a↗t→i↙v↖e","7 keys: i → n → o → v → a → t → e",7,7,0,"↙·↗↙↖↗→↙↖","Diagonal",9,"Complex","Challenging"
Custom,"mobile","m↗o↙b↗i↘l↖e","6 keys: m → o → b → i → l → e",6,6,0,"↗↙↗↘↖","Diagonal",5,"Medium","Excellent"
Custom,"desktop","d↑e↙s→k↖t→o→p","7 keys: d → e → s → k → t → o → p",7,7,0,"↑↙→↖→→","Diagonal",6,"Medium","Excellent"
Custom,"responsive","r←e↙s↗p←o↙n↖s↗i↙v↖e","8 keys: r → e → s → p → o → n → i → v",8,8,0,"←↙↗←↙↖↗↙↖","Diagonal",9,"Complex","Challenging"
Custom,"layout","l←a↗y→o←u←t","6 keys: l → a → y → o → u → t",6,6,0,"←↗→←←","Horizontal",5,"Medium","Excellent"
Custom,"animation","a↘n↗i↙m↖a↗t→i→o↙n","6 keys: a → n → i → m → t → o",6,6,0,"↘↗↙↖↗→→↙","Diagonal",8,"Complex","Challenging"
Custom,"interaction","i↙n↖t←e→r↙a↘c↗t→i→o↙n","8 keys: i → n → t → e → r → a → c → o",8,8,0,"↙↖←→↙↘↗→→↙","Horizontal",10,"Complex","Challenging"
Custom,"user","u↙s↗e→r","4 keys: u → s → e → r",4,4,0,"↙↗→","Diagonal",3,"Simple","Excellent"
Custom,"experience","e↙x↗p←e→r→i←e↘n←c↑e","7 keys: e → x → p → r → i → n → c",7,7,0,"↙↗←→→←↘←↑","Horizontal",9,"Complex","Challenging"
